,Word,Count
1108,lied,2
1829,snappin,2
1102,letters,2
1852,souls,2
1866,speak,2
1869,special,2
1875,spin,2
1096,legs,2
1878,spoil,2
1885,square,2
1893,star,2
1903,stayed,2
1082,lawyers,2
1079,laughing,2
1911,stickin,2
1926,strawberry,2
1762,shoulder,2
1142,load,2
1756,shooters,2
1221,memory,2
1638,role,2
1250,missing,2
1640,rollie,2
1643,rolls,2
1243,miro,2
1663,safe,2
1667,sali,2
1668,salt,2
1677,sayin,2
1233,milan,2
1684,scary,2
1692,s****,2
1694,scrolling,2
1218,melody,2
1755,shoot,2
1696,searchin,2
1204,matching,2
1201,mask,2
1186,malibu,2
1699,seasons,2
1704,secrets,2
1168,loved,2
1718,sent,2
1725,sexing,2
1161,losing,2
1159,losers,2
1741,shell,2
1744,shine,2
1112,lift,2
2329,zone,2
845,greatest,2
192,booked,2
154,billy,2
160,bitcha,2
162,bite,2
165,blast,2
170,blew,2
639,escapin,2
182,blouse,2
635,envy,2
634,entregu,2
183,blow,2
184,blue,2
628,engine,2
625,enemies,2
760,fought,2
200,bought,2
208,brain,2
603,easily,2
602,earth,2
217,breaking,2
597,d****,2
596,dummies,2
218,breath,2
219,breathe,2
220,breathin,2
591,drumming,2
586,dropping,2
140,begin,2
139,begging,2
137,began,2
135,bebiendo,2
65,anybody,2
66,anymore,2
757,forget,2
68,apathy,2
755,fore,2
750,follow,2
743,flows,2
89,attached,2
91,attention,2
727,fives,2
721,finger,2
102,babies,2
718,finding,2
715,filled,2
713,figure,2
712,fighting,2
108,baddest,2
699,feet,2
697,feelings,2
689,favorite,2
120,bands,2
686,fast,2
685,farru,2
679,family,2
131,battle,2
222,brick,2
583,drop,2
581,driving,2
306,champagne,2
308,chance,2
310,changed,2
480,deal,2
317,chat,2
474,daughter,2
472,dashboard,2
329,children,2
330,chill,2
458,daffy,2
350,citys,2
451,curvin,2
450,curves,2
448,cursive,2
368,clowns,2
443,cuddle,2
371,cocaine,2
437,crowded,2
375,comes,2
382,company,2
427,cover,2
425,cousin,2
422,coupe,2
416,couldve,2
394,content,2
398,contigo,2
307,champions,2
489,deeper,2
236,brought,2
490,defense,2
576,drip,2
575,drinking,2
239,bsame,2
568,dream,2
566,draw,2
565,drank,2
564,drama,2
245,bullets,2
559,doubler,2
252,burning,2
255,business,2
256,busy,2
263,called,2
548,doin,2
547,dogs,2
273,capping,2
536,diss,2
278,careers,2
534,disfruta,2
282,cars,2
523,digest,2
522,diga,2
293,catchin,2
506,designer,2
494,delete,2
758,forsake,2
399,contract,2
12,acting,2
48,ambiente,2
40,alcohol,2
767,freezin,2
813,giving,2
39,album,2
14,activists,2
23,afraid,2
7,acaba,2
791,games,2
6,abrzame,2
50,amen,2
782,fumando,2
842,grave,2
832,goofy,2
818,goat,2
773,fries,2
780,fuerte,2
812,givin,2
11,actin,2
13,action,2
25,afternoon,2
810,girlfriend,2
774,frontline,2
54,anemic,2
32,ahead,2
793,garden,2
807,gimmicks,2
16,address,2
835,grab,2
45,alright,2
283,cartier,1
1823,smiles,1
1824,smirk,1
288,cases,1
290,cashmere,1
1821,smashin,1
1820,smarter,1
1841,somebody,1
1825,smith,1
1830,s*****,1
1827,smokers,1
287,case,1
